KEPH,Facility_category,Owner,County,whole_day,public_holidays,weekends,late_night
Level 2,DISPENSARY,Ministry of Health,Kakamega,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Nairobi,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Kakamega,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Narok,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Embu,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Trans Nzoia,Yes,Yes,Yes,Yes
Level 5,HOSPITALS,Private Practice,Nandi,Yes,Yes,Yes,Yes
Level 3,HEALTH CENTRE,Ministry of Health,Kakamega,No,No,No,No
Level 3,MEDICAL CLINIC,Private Practice,Kirinyaga,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Nandi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Vihiga,Yes,Yes,Yes,Yes
Level 2,HEALTH CENTRE,Ministry of Health,Kakamega,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Kirinyaga,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,Yes
Level 3,MEDICAL CENTER,Private Practice,Bomet,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,Yes,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Nairobi,No,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Kakamega,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Nyamira,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Nyandarua,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Mandera,Yes,Yes,Yes,Yes
Level 2,MEDICAL CENTER,Private Practice,Kiambu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Embu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kakamega,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kakamega,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Kisumu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,Yes,Yes,No
Level 3,NURSING HOME,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 2,MEDICAL CENTER,Private Practice,Kirinyaga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Nyeri,Yes,Yes,Yes,Yes
Level 3,HEALTH CENTRE,Ministry of Health,Uasin Gishu,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Non-Governmental Organizations,Nyeri,No,No,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Makueni,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Baringo,No,No,No,No
Level 3,NURSING HOME,Private Practice,Mandera,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Kilifi,No,No,No,No
Level 3,NURSING HOME,Private Practice,Mandera,Yes,Yes,Yes,Yes
Level 3,HOSPITALS,Faith Based Organization,Narok,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Marsabit,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Kilifi,No,No,No,No
Level 3,HOSPITALS,Faith Based Organization,Nairobi,Yes,Yes,Yes,Yes
Level 2,NURSING HOME,Private Practice,Uasin Gishu,Yes,Yes,Yes,Yes
Level 2,MEDICAL CENTER,Private Practice,Kiambu,No,No,No,Yes
Level 2,HEALTH CENTRE,Private Practice,Kiambu,No,No,No,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,Yes
Level 2,DISPENSARY,Ministry of Health,Laikipia,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Machakos,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Homa Bay,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Homa Bay,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nandi,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Nyamira,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Tana River,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nandi,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kajiado,Yes,No,No,Yes
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,NURSING HOME,Private Practice,Kajiado,No,No,No,No
Level 2,MEDICAL CENTER,Private Practice,Kiambu,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 4,HOSPITALS,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,Yes,Yes,Yes
Level 2,MEDICAL CENTER,Private Practice,Kirinyaga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,Yes
Level 2,MEDICAL CLINIC,Private Practice,Migori,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Trans Nzoia,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Migori,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Migori,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Baringo,No,No,No,No
Level 3,NURSING HOME,Private Practice,Machakos,Yes,Yes,Yes,Yes
Level 2,HEALTH CENTRE,Private Practice,Kiambu,No,No,Yes,No
Level 2,HEALTH CENTRE,Private Practice,Kiambu,No,No,Yes,Yes
Level 3,HEALTH CENTRE,Private Practice,Siaya,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Tana River,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Embu,No,Yes,Yes,No
Level 2,STAND ALONE,Private Practice,Kisumu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Baringo,No,No,No,No
Level 2,MEDICAL CENTER,Private Practice,Baringo,No,No,No,No
Level 2,STAND ALONE,Private Practice,Tharaka Nithi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Embu,No,No,No,No
Level 2,MEDICAL CENTER,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,Yes,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Migori,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Baringo,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Nyandarua,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,Yes,No,No
Level 2,DISPENSARY,Private Practice,Embu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Embu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Mandera,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Nyeri,No,No,No,No
Level 3,DISPENSARY,Ministry of Health,Nandi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,Yes
Level 2,MEDICAL CLINIC,Private Practice,Busia,No,No,No,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Wajir,No,No,No,No
